,Evaluaciones en las tardes o sábados,,,,,,,,,,,,,,,,,,,
,Evaluaciones en horario de Clase/Ayudantía,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TIPO HORARIO,DESCRIPCION,,,,,,,,,,,,,,,,,,,
CLAS,CLASES,,,,,,,,,,,,,,,,,,,
AYUD,AYUDANTIA,,,,,,,,,,,,,,,,,,,
LABT,LABORATORIO,,,,,,,,,,,,,,,,,,,
EXAM,EXAMEN,,,,,,,,,,,,,,,,,,,
PRBA ,"PRUEBA (1, 2, 3...)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PERIODO,PLAN DE ESTUDIOS,NRC,CONECTOR  LIGA,LISTA CRUZADA,MATERIA,CURSO,SECC.,TITULO,CREDITO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,INICIO,FIN,SALA,TIPO,PROFESOR
202220,2016,625,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,08:30 -12:20,,,,,01/08/2022,16/11/2022,B-20,CLAS,PIRELA/PEREZ CARLOS SANTIAGO
202220,2016,625,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,,15:30 -17:20,,,,08/08/2022,16/11/2022,I101,AYUD,PIRELA/PEREZ CARLOS SANTIAGO
202220,2016,625,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,,,08:30 -10:20,,,01/08/2022,16/11/2022,I101,CLAS,PIRELA/PEREZ CARLOS SANTIAGO
202220,2016,608,,,ING,1201,1,ALGEBRA LINEAL,6,,15:30 -17:20,,,,,08/08/2022,16/11/2022,H-103,AYUD,BALLESTEROS/VERGARA RAIMUNDO TOMAS
202220,2016,608,,,ING,1201,1,ALGEBRA LINEAL,6,,,,10:30 -12:20,,,01/08/2022,16/11/2022,I012,CLAS,BALLESTEROS/VERGARA RAIMUNDO TOMAS
202220,2016,608,,,ING,1201,1,ALGEBRA LINEAL,6,,,08:30 -10:20,,,,01/08/2022,16/11/2022,I101,CLAS,BALLESTEROS/VERGARA RAIMUNDO TOMAS
202220,2016,608,,,ING,1201,1,ALGEBRA LINEAL,6,15:30 -17:20,,,,,,28/11/2022,28/11/2022,C-101,EXAM,BALLESTEROS/VERGARA RAIMUNDO TOMAS
202220,2016,608,,,ING,1201,1,ALGEBRA LINEAL,6,19:30 -21:20,,,,,,29/08/2022,29/08/2022,I101,PRBA 1,BALLESTEROS/VERGARA RAIMUNDO TOMAS
202220,2016,608,,,ING,1201,1,ALGEBRA LINEAL,6,,15:30 -17:20,,,,,27/09/2022,27/09/2022,H-103,PRBA 2,BALLESTEROS/VERGARA RAIMUNDO TOMAS
202220,2016,608,,,ING,1201,1,ALGEBRA LINEAL,6,,,,19:30 -21:20,,,20/10/2022,20/10/2022,C-214,PRBA 3,BALLESTEROS/VERGARA RAIMUNDO TOMAS
202220,2016,608,,,ING,1201,1,ALGEBRA LINEAL,6,,15:30 -17:20,,,,,08/11/2022,08/11/2022,H-103,PRBA 4,BALLESTEROS/VERGARA RAIMUNDO TOMAS
202220,2016,609,,,ING,1201,2,ALGEBRA LINEAL,6,08:30 -10:20,,,,,,01/08/2022,16/11/2022,B-20,CLAS,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202220,2016,609,,,ING,1201,2,ALGEBRA LINEAL,6,19:30 -21:20,,,,,,29/08/2022,29/08/2022,I201,PRBA 1,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
